Donor_ID,Group,Assignment_Date
DON01099,Treatment,2026-06-18
DON01634,Control,2026-06-18
DON02218,Treatment,2026-06-18
DON00518,Treatment,2026-06-18
DON01426,Treatment,2026-06-18
DON02326,Treatment,2026-06-18
DON01328,Treatment,2026-06-18
DON02818,Treatment,2026-06-18
DON00965,Treatment,2026-06-18
DON03204,Treatment,2026-06-18
DON01797,Treatment,2026-06-18
DON03498,Control,2026-06-18
DON01360,Treatment,2026-06-18
DON00534,Treatment,2026-06-18
DON02958,Treatment,2026-06-18
DON02055,Treatment,2026-06-18
DON00822,Treatment,2026-06-18
DON02309,Treatment,2026-06-18
DON02121,Treatment,2026-06-18
DON03076,Treatment,2026-06-18
DON02362,Treatment,2026-06-18
DON01819,Treatment,2026-06-18
DON00652,Treatment,2026-06-18
DON02213,Treatment,2026-06-18
DON03249,Treatment,2026-06-18
DON02584,Treatment,2026-06-18
DON00712,Treatment,2026-06-18
DON03258,Treatment,2026-06-18
DON00366,Treatment,2026-06-18
DON01387,Treatment,2026-06-18
DON00921,Treatment,2026-06-18
DON00471,Treatment,2026-06-18
DON00201,Treatment,2026-06-18
DON02605,Control,2026-06-18
DON02302,Control,2026-06-18
DON02971,Treatment,2026-06-18
DON02590,Treatment,2026-06-18
DON01541,Treatment,2026-06-18
DON01061,Treatment,2026-06-18
DON00037,Treatment,2026-06-18
DON00183,Treatment,2026-06-18
DON03263,Treatment,2026-06-18
DON02052,Treatment,2026-06-18
DON03055,Control,2026-06-18
DON01561,Treatment,2026-06-18
DON01953,Treatment,2026-06-18
DON03302,Treatment,2026-06-18
DON01580,Treatment,2026-06-18
DON02394,Treatment,2026-06-18
DON02247,Treatment,2026-06-18
DON01556,Control,2026-06-18
DON00301,Treatment,2026-06-18
DON03460,Control,2026-06-18
DON00281,Treatment,2026-06-18
DON00991,Treatment,2026-06-18
DON00272,Control,2026-06-18
DON01507,Treatment,2026-06-18
DON00665,Treatment,2026-06-18
DON03000,Treatment,2026-06-18
DON02959,Treatment,2026-06-18
DON00672,Treatment,2026-06-18
DON01864,Treatment,2026-06-18
DON01436,Treatment,2026-06-18
DON00812,Treatment,2026-06-18
DON03158,Treatment,2026-06-18
DON03225,Treatment,2026-06-18
DON01430,Treatment,2026-06-18
DON00278,Treatment,2026-06-18
DON02813,Treatment,2026-06-18
DON00785,Control,2026-06-18
DON00677,Treatment,2026-06-18
DON01211,Treatment,2026-06-18
DON00845,Treatment,2026-06-18
DON00693,Treatment,2026-06-18
DON00049,Treatment,2026-06-18
DON02032,Treatment,2026-06-18
DON01842,Treatment,2026-06-18
DON00358,Treatment,2026-06-18
DON00914,Treatment,2026-06-18
DON01057,Treatment,2026-06-18
DON01602,Treatment,2026-06-18
DON02340,Treatment,2026-06-18
DON00337,Treatment,2026-06-18
DON00713,Treatment,2026-06-18
DON00120,Treatment,2026-06-18
DON01990,Treatment,2026-06-18
DON02661,Treatment,2026-06-18
DON00617,Treatment,2026-06-18
DON01920,Treatment,2026-06-18
DON02256,Treatment,2026-06-18
DON01734,Treatment,2026-06-18
DON01056,Treatment,2026-06-18
DON00322,Treatment,2026-06-18
DON02518,Treatment,2026-06-18
DON01877,Treatment,2026-06-18
DON00174,Treatment,2026-06-18
DON01956,Treatment,2026-06-18
DON00451,Treatment,2026-06-18
DON02236,Treatment,2026-06-18
DON02859,Treatment,2026-06-18
DON01368,Treatment,2026-06-18
DON00044,Treatment,2026-06-18
DON00512,Treatment,2026-06-18
DON02356,Treatment,2026-06-18
DON00434,Control,2026-06-18
DON01376,Treatment,2026-06-18
DON02553,Treatment,2026-06-18
DON01892,Treatment,2026-06-18
DON01196,Treatment,2026-06-18
DON00053,Treatment,2026-06-18
DON02208,Treatment,2026-06-18
DON00421,Treatment,2026-06-18
DON00586,Control,2026-06-18
DON03477,Treatment,2026-06-18
DON00976,Treatment,2026-06-18
DON02265,Treatment,2026-06-18
DON00690,Treatment,2026-06-18
DON03310,Treatment,2026-06-18
DON00566,Treatment,2026-06-18
DON02317,Treatment,2026-06-18
DON02587,Treatment,2026-06-18
DON00265,Treatment,2026-06-18
DON00966,Treatment,2026-06-18
DON01571,Treatment,2026-06-18
DON00807,Treatment,2026-06-18
DON01523,Treatment,2026-06-18
DON02306,Treatment,2026-06-18
DON02730,Treatment,2026-06-18
DON00349,Treatment,2026-06-18
DON00399,Treatment,2026-06-18
DON02489,Treatment,2026-06-18
DON00635,Treatment,2026-06-18
DON02670,Treatment,2026-06-18
DON03110,Treatment,2026-06-18
DON00032,Control,2026-06-18
DON00151,Treatment,2026-06-18
DON00955,Treatment,2026-06-18
DON03248,Treatment,2026-06-18
DON01951,Treatment,2026-06-18
DON00019,Control,2026-06-18
DON00425,Control,2026-06-18
DON00814,Treatment,2026-06-18
DON02620,Treatment,2026-06-18
DON00164,Treatment,2026-06-18
DON01917,Treatment,2026-06-18
DON01736,Treatment,2026-06-18
DON02307,Treatment,2026-06-18
DON01125,Treatment,2026-06-18
DON01846,Treatment,2026-06-18
DON02263,Treatment,2026-06-18
DON01868,Control,2026-06-18
DON01881,Treatment,2026-06-18
DON01518,Treatment,2026-06-18
DON03438,Treatment,2026-06-18
DON02048,Control,2026-06-18
DON02080,Treatment,2026-06-18
DON03487,Treatment,2026-06-18
DON02918,Treatment,2026-06-18
DON00182,Treatment,2026-06-18
DON01585,Treatment,2026-06-18
DON01575,Treatment,2026-06-18
DON02776,Treatment,2026-06-18
DON02596,Treatment,2026-06-18
DON02597,Treatment,2026-06-18
DON02452,Treatment,2026-06-18
DON01977,Treatment,2026-06-18
DON00736,Treatment,2026-06-18
DON03067,Treatment,2026-06-18
DON00802,Treatment,2026-06-18
DON02957,Treatment,2026-06-18
DON00332,Treatment,2026-06-18
DON02185,Treatment,2026-06-18
DON00464,Treatment,2026-06-18
DON01754,Treatment,2026-06-18
DON01013,Treatment,2026-06-18
DON01887,Treatment,2026-06-18
DON01492,Treatment,2026-06-18
DON02758,Treatment,2026-06-18
DON02407,Control,2026-06-18
DON00383,Treatment,2026-06-18
DON00559,Treatment,2026-06-18
DON00502,Treatment,2026-06-18
DON02412,Control,2026-06-18
DON02427,Treatment,2026-06-18
DON02894,Treatment,2026-06-18
DON01865,Treatment,2026-06-18
DON02753,Treatment,2026-06-18
DON01906,Treatment,2026-06-18
DON02026,Treatment,2026-06-18
